Player,From / To,Date,Price
Dylan Mitchell,Aston VillaSwindon Town,10-07-2024,Free
Daniel Jebbison,Sheff UtdB'mouth,10-07-2024,Free
Carlos Miguel,CorinthiansNottingham,09-07-2024,€4M
Luke Hewitson,LiverpoolFleetwood,09-07-2024,Free
Diego Llorente,Leeds UnitedReal Betis,09-07-2024,€3.3M
Georgios Okkas,FulhamRio Ave,09-07-2024,Free
Thomas Strakosha,BrentfordAEK,08-07-2024,Free
Mika Biereth,ArsenalSturm Graz,08-07-2024,€9M
Adrián,LiverpoolReal Betis,08-07-2024,Free
Charlie Cresswell,Leeds UnitedToulouse,08-07-2024,€4.5M
Michael Olise,C. PalaceBayern Munich,07-07-2024,€53M
Amario Cozier-Duberry,ArsenalBrighton,07-07-2024,Free
Michael Golding,ChelseaLeicester,07-07-2024,€5.9M
Kristoffer Klaesson,Leeds UnitedRakow,07-07-2024,Free
Mats Wieffer,FeyenoordBrighton,06-07-2024,€32M
Shandon Baptiste,BrentfordLuton,06-07-2024,Free
Bobby De Cordova-Reid,FulhamLeicester,06-07-2024,Free
Maximilian Kilman,WolvesWest Ham,06-07-2024,€47.5M
Francis Gyimah,LiverpoolStoke City,05-07-2024,Free
Noah Kailen Cooper,ArsenalStoke City,05-07-2024,Free
Luis Brown,ArsenalWest Ham,05-07-2024,Free
Tanguy Ndombélé,TottenhamNice,04-07-2024,Free
Jamie Shackleton,Leeds UnitedSheff Utd,04-07-2024,Free
Moussa Niakhaté,NottinghamLyon,04-07-2024,€31.9M
Mackenzie Hunt,EvertonFleetwood,04-07-2024,Free
Iliman Ndiaye,MarseilleEverton,03-07-2024,€18M
Dylan Graham,EvertonLarne,03-07-2024,Free
Michael Spellman,SunderlandNewport,02-07-2024,Free
Orel Mangala,NottinghamLyon,02-07-2024,€23.4M
Joe Rodon,TottenhamLeeds United,02-07-2024,€11.8M
Kiernan Dewsbury-Hall,LeicesterChelsea,02-07-2024,€35.4M
L. Fiorini,Man CityStockport,02-07-2024,€0.4M
Chadi Riad,Real BetisC. Palace,02-07-2024,€15M
Omari Hutchinson,ChelseaIpswich Town,02-07-2024,€23.5M
Jemiah Umolu,West HamC. Palace,02-07-2024,Free
Archie Gray,Leeds UnitedTottenham,02-07-2024,€41.3M
Kyle Crossley,NewcastleSouth Shields FC,01-07-2024,Free
Václav Hladký,Ipswich TownBurnley,01-07-2024,Free
Tim Iroegbunam,Aston VillaEverton,01-07-2024,€10.7M
Bradley Dack,SunderlandGillingham,01-07-2024,Free
Frankie Ealing,Aston VillaAberystwyth,01-07-2024,Free
Igor Thiago,BruggeBrentford,01-07-2024,€33M
Ben Godfrey,EvertonAtalanta,01-07-2024,€12.5M
Ian Poveda,Leeds UnitedSunderland,01-07-2024,Free
Ian Maatsen,ChelseaAston Villa,01-07-2024,€44.5M
Renaldo Torraj,BurnleyTeuta,01-07-2024,Free
Jordan Hackett-Valton,NewcastleMousehole AFC,01-07-2024,Free
Ellis Taylor,SunderlandHarrogate,01-07-2024,Free
Leigh Kavanagh,BrightonBohemians,01-07-2024,Free
Arthur Okonkwo,ArsenalWrexham,01-07-2024,Free
Davon Gbajumo,ChelseaPeterborough,01-07-2024,Free
Harry Redknapp,B'mouthDorchester Town,01-07-2024,Free
Jamal Lowe,B'mouthSheff Wed,01-07-2024,Free
Jamie Cumming,ChelseaOxford,01-07-2024,Free
Andy Lonergan,EvertonWigan,01-07-2024,Free
Kofi Balmer,C. PalaceMotherwell,01-07-2024,Free
Eric Dier,TottenhamBayern Munich,01-07-2024,Free
Charlie Webster,ChelseaBurton Albion,01-07-2024,Free
Joe Ryder,SunderlandHigh Point Panthers (High Point University),01-07-2024,Free
Dylan Stephenson,NewcastleDagenham,01-07-2024,Free
Daichi Kamada,LazioC. Palace,01-07-2024,Free
Saïd Benrahma,West HamLyon,01-07-2024,€14.4M
Melkamu Frauendorf,LiverpoolHannover 96,01-07-2024,Free
Hakim Ziyech,ChelseaGalatasaray,01-07-2024,Free
Bailey Peacock-Farrell,BurnleyBirmingham City,01-07-2024,€0.5M
Alex Paulsen,WellingtonB'mouth,01-07-2024,€2.3M
Marko Stamenic,Crvena ZvezdaNottingham,01-07-2024,€5.5M
Michael Ndiweni,NewcastleAshington AFC,01-07-2024,Free
Mike Tresor,GenkBurnley,01-07-2024,€18M
Morten Spencer,Leeds UnitedDerby,01-07-2024,Free
Luke Ayling,Leeds UnitedMiddlesbrough,01-07-2024,Free
John Ruddy,Birmingham CityNewcastle,01-07-2024,Free
Joseph Anang,West HamSt Patrick`s,01-07-2024,Free
Jack Diamond,SunderlandStockport,01-07-2024,Free
Ben Greenwood,B'mouthWeymouth FC,01-07-2024,Free
Simon Moore,CoventrySunderland,01-07-2024,Free
Hubert Graczyk,ArsenalMan Utd,01-07-2024,Free
Maxime Estève,MontpellierBurnley,01-07-2024,€12M
Elliot Anderson,NewcastleNottingham,01-07-2024,€41.2M
Angel Waruih,BrentfordEastleigh FC,01-07-2024,Free
Odysseas Vlachodimos,NottinghamNewcastle,01-07-2024,€23.6M
Enzo Barrenechea,JuventusAston Villa,01-07-2024,€8M
Keenan Carole,Leeds UnitedServette,01-07-2024,Free
David Raya,BrentfordArsenal,01-07-2024,€31.9M
Douglas Luiz,Aston VillaJuventus,01-07-2024,€51.5M
Jack Hinchy,BrightonNotts County,01-07-2024,Free
Lewis Warrington,EvertonLeyton Orient,01-07-2024,Free
Pedro Lima,RecifeWolves,01-07-2024,€10M
Lucas Bergvall,DjurgardenTottenham,01-07-2024,€20M
Ovie Ejeheri,ArsenalMidtjylland,01-07-2024,Free
Daniel Oyegoke,BrentfordHearts,01-07-2024,Free
Katia Kouyate,EvertonBarrow,01-07-2024,Free
Wes Foderingham,Sheff UtdWest Ham,01-07-2024,Free
Guido Rodríguez,Real BetisWest Ham,01-07-2024,Free
Ben Johnson,West HamIpswich Town,01-07-2024,Free
Lloyd Kelly,B'mouthNewcastle,01-07-2024,Free
Morgan Sanson,Aston VillaNice,01-07-2024,€4M
Charlie Allen,Leeds UnitedLinfield,01-07-2024,Free
Jacob Knightbridge,West HamOxford,01-07-2024,Free
Thiago Silva,ChelseaFluminense,01-07-2024,Free
Marek Rodák,FulhamAl-Ettifaq,01-07-2024,Free
Remo Freuler,NottinghamBologna,01-07-2024,€1.9M
Teddy Rowe,Aston VillaLeamington FC,01-07-2024,Free
Eric da Silva Moreira,St. PauliNottingham,01-07-2024,€1.5M
Willian,FulhamOlympiakos,01-07-2024,Free
Marc Roca,Leeds UnitedReal Betis,01-07-2024,€4.5M
Louie Moulden,WolvesC. Palace,01-07-2024,Free
Scott Banks,C. PalaceSt. Pauli,01-07-2024,€0.4M
Rohan Vaughan,BurnleyQPR,01-07-2024,Free
Shurandy Sambo,PSVBurnley,01-07-2024,Free
Scott Godden,Leeds UnitedRutgers Scarlet Knights (Rutgers University of NJ),01-07-2024,Free
Omari Forson,Man UtdMonza,01-07-2024,Free
Remy Bennison,BrentfordSouthall United,01-07-2024,Free
Omari Kellyman,Aston VillaChelsea,01-07-2024,€22.5M
Adam Lallana,BrightonSouthampton,01-07-2024,Free
Adam Lewis,LiverpoolMorecambe,01-07-2024,Free
John-Kymani Gordon,C. PalaceColchester,01-07-2024,Free
Mohamed Elneny,ArsenalAl-Jazira,01-07-2024,Free
Álvaro Carreras,Man UtdBenfica,01-07-2024,€14.3M
Rodrigo Gomes,Sporting BragaWolves,01-07-2024,€15M
Kyle John,EvertonPort Vale,01-07-2024,Free
Ivan Perišić,TottenhamHajduk Split,01-07-2024,Free
